strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
041402020903,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070102070505,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070400070607,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070801010701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070900031004,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030201020604,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040500070208,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070500070102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120301080303,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020501061408,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030402060902,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300050705,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050600010504,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102200030905,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110100120502,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020700010608,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110702070802,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120200050306,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071100010803,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071401040108,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080202020206,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
011000050604,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051001010403,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111302020306,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030402060801,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030602030401,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040500020102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050600010102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050702030401,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050800010301,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110902020203,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030101070205,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701030704,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300091002,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050902031008,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051402010603,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031501050909,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050100030903,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070300020305,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070900050701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020301010206,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031102030907,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031700090705,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
041100040104,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070200120702,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070600010903,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071200050204,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071402010405,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
103001010404,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110701030402,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020401060812,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030502060405,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701040104,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050100061002,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030101020405,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300011004,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050200010104,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051002030502,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102801020806,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102902010502,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111101050705,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020401050905,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030801012003,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071300040102,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031102010605,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040802040501,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
